ID	locality	country	decimalLongitude	decimalLatitude	geodeticDatum	elevation	aspect	entranceNumber	entranceType	entranceSize	entranceHabitat	entranceHabitatVerbatim	development	positiveDrop	negativeDrop	caveType	caveMorphology	caveActive	caveTouristic	notes	referencesLocality	referencesSpecies	contributorName	contributorEmail
CAVE_300	B52 cave	Albania	19,65641	42,41105	WGS84 	1500	S	1	descendent	3	rocky	NA	5	0	30	karst	descendent	0	0	NA	'Zhalov 2015 Almanac Balkan Cavers'' Camps and Balkan Speleology'	Deltshev 2008 Zootaxa; Deltshev et al. 2011 Arachnologische Mitteilungen 40:33-46	Christo Deltshev & Maria Naumova 	deltshev@gmail.com & munny@abv.bg
CAVE_301	Maya Harapit cave	Albania	19,45529	42,26331	WGS84 	1324	SW	1	descendent	2,5	rocky	NA	3286	0	413	karst	descendent	0	0	NA	'Zhalov 2015 Almanac Balkan Cavers'' Camps and Balkan Speleology'	Deltshev 2008 Zootaxa; Deltshev et al. 2011 Arachnologische Mitteilungen 40:33-46	Christo Deltshev & Maria Naumova 	deltshev@gmail.com & munny@abv.bg
CAVE_302	K2 cave	Albania	19,64056	42,45672	WGS84 	1800	W	1	descendent	3	rocky	NA	25	0	35	karst	descendent	0	0	NA	'Zhalov 2015 Almanac Balkan Cavers'' Camps and Balkan Speleology'	Deltshev 2008 Zootaxa; Deltshev et al. 2011 Arachnologische Mitteilungen 40:33-46	Christo Deltshev & Maria Naumova 	deltshev@gmail.com & munny@abv.bg
CAVE_303	Artificial gallery	Albania	19,86024	41,25222	WGS84 	370	SW	1	horizontal	3	rocky	NA	150	0	0	karst	horizontal	0	0	NA	'Zhalov 2015 Almanac Balkan Cavers'' Camps and Balkan Speleology'	Deltshev 2008 Zootaxa; Deltshev et al. 2011 Arachnologische Mitteilungen 40:33-46	Christo Deltshev & Maria Naumova 	deltshev@gmail.com & munny@abv.bg
CAVE_304	Mercurth cave	Albania	20,10485	41,78823	WGS84 	830	NE	1	descendent	10,35	rocky	NA	830	0	84	karst	descendent	0	0	NA	'Zhalov 2015 Almanac Balkan Cavers'' Camps and Balkan Speleology'	Deltshev 2008 Zootaxa; Deltshev et al. 2011 Arachnologische Mitteilungen 40:33-46	Christo Deltshev & Maria Naumova 	deltshev@gmail.com & munny@abv.bg
CAVE_305	Shpela Mazghoranit cave	Albania	20,11108	40,30003	WGS84 	183	SE	1	horizontal	35	shrubs	NA	380	0	0	karst	horizontal	0	0	NA	'Zhalov 2015 Almanac Balkan Cavers'' Camps and Balkan Speleology'	Deltshev 2008 Zootaxa; Deltshev et al. 2011 Arachnologische Mitteilungen 40:33-46	Christo Deltshev & Maria Naumova 	deltshev@gmail.com & munny@abv.bg
CAVE_306	Shpela Uikut cave	Albania	20,96493	40,68847	WGS84 	1152	SW	1	horizontal	2	rocky	NA	200	0	0	karst	horizontal	NA	0	NA	'Zhalov 2015 Almanac Balkan Cavers'' Camps and Balkan Speleology'	Deltshev 2008 Zootaxa; Deltshev et al. 2011 Arachnologische Mitteilungen 40:33-46	Christo Deltshev & Maria Naumova 	deltshev@gmail.com & munny@abv.bg
CAVE_307	Spela Zebjes cave	Albania	21,01385	40,65156	WGS84 	1167	W	1	descendent	3	rocky	NA	160	0	0	karst	horizontal	NA	0	NA	'Zhalov 2015 Almanac Balkan Cavers'' Camps and Balkan Speleology'	Deltshev 2008 Zootaxa; Deltshev et al. 2011 Arachnologische Mitteilungen 40:33-46	Christo Deltshev & Maria Naumova 	deltshev@gmail.com & munny@abv.bg
CAVE_308	Maligradska cave	Albania	20,93426	40,79316	WGS84 	200	S	1	descendent	4	rocky	NA	845	0	0	karst	horizontal	0	0	NA	'Zhalov 2015 Almanac Balkan Cavers'' Camps and Balkan Speleology'	Deltshev 2008 Zootaxa; Deltshev et al. 2011 Arachnologische Mitteilungen 40:33-46	Christo Deltshev & Maria Naumova 	deltshev@gmail.com & munny@abv.bg
CAVE_309	Gubilisteteto cave	Albania	20,91556	40,76197	WGS84 	850	SE	1	descendent	4	forest	NA	NA	0	0	karst	horizontal	NA	NA	NA	'Zhalov 2015 Almanac Balkan Cavers'' Camps and Balkan Speleology'	Deltshev 2008 Zootaxa; Deltshev et al. 2011 Arachnologische Mitteilungen 40:33-46	Christo Deltshev & Maria Naumova 	deltshev@gmail.com & munny@abv.bg
