Family	Genus	species	Genus_species	species_lsid	author	year	parentheses	distribution_WSC	Notes	Citation_WSC	Measured	Ecological_classification	Guild	Cave_deep	Cave_entr	SSH	External	Alien	Verticality	Pigment	Eyeless	Eyes_regression	Leg_elongation	Body_length_min_f	Body_length_max_f	Body_length_min_m	Body_length_max_m	Body_length_avg_f	Body_length_avg_m	Sexual_Size_Dimorphism	Body_length_avg	Prosoma_length_f	Prosoma_length_m	Prosoma_length_avg	Prosoma_width_f	Prosoma_width_m	Prosoma_width_avg	Prosoma_shape	Prosoma_height_f	Prosoma_height_m	Prosoma_height_avg	Profile_flattening	Femur_I_length_f	Femur_I_length_m	Femur_I_length_avg	Femur_elongation	Tibia_I_length_f	Tibia_I_length_m	Tibia_I_length_avg	Tibia_elongation 	Fang_length_f	Fang_length_m	Fang_length_avg	Clypeus_height_f	Clypeus_height_m	Clypeus_height_avg	AME	AME_type	ALE	PME	PLE	Eye_reduction_ratio	AME-ALE	PME-PLE	Capture_web	Sensing_web	No_web	Tube_web	Sheet_web	Space_web	Orb_web	Ambush_hunter	Active_hunter	Food_specialist	Dispersal
Agelenidae	Eratigena	atrica	Eratigena atrica	urn:lsid:nmbe.ch:spidersp:021197	C. L. Koch	1843	1	Europe. Introduced to Canada, USA	-	Bolzern et al (2013)	no	Troglophile	Sheet	1	0	1	1	0	Wall	Fully	0	0	0	11,000	16,000	10,000	14,000	13,500	12,000	0,889	12,750	5,840	5,830	5,835	4,180	4,390	4,285	1,362	NA	NA	NA	NA	6,940	9,390	8,165	0,640	6,610	9,400	8,005	0,628	NA	NA	NA	0,520	NA	0,520	0,260	Present	0,260	0,230	0,240	0,476	0,130	0,23	1	0	0	1	1	0	0	0	0	0	1
Agelenidae	Eratigena	herculea	Eratigena herculea	urn:lsid:nmbe.ch:spidersp:021240	Fage	1931	1	Spain (mainland, Ibiza)	-	Ribera & Barrientos (1986); Bolzern et al (2013)	no	Troglobiont	Sheet	1	0	0	0	0	Wall	Fully	0	1	0	5,510	6,790	NA	NA	6,150	5,210	0,847	5,680	3,060	2,440	2,750	2,130	1,770	1,950	1,410	NA	NA	NA	NA	4,460	4,630	4,545	0,800	4,640	5,240	4,940	0,870	NA	NA	NA	0,120	NA	0,120	0,040	Present	0,070	0,050	0,050	0,438	0,080	0,100	1	0	0	1	1	0	0	0	0	0	0
Agelenidae	Eratigena	hispanica	Eratigena hispanica	urn:lsid:nmbe.ch:spidersp:021241	Fage	1931	1	Spain	-	Bolzern et al (2013)	no	Troglophile	Sheet	1	0	0	1	0	Wall	Fully	0	1	0	NA	NA	NA	NA	10,330	7,310	0,708	8,820	5,320	4,340	4,830	2,700	2,970	2,835	1,704	NA	NA	NA	NA	7,420	7,330	7,375	0,836	7,580	7,430	7,505	0,851	NA	NA	NA	0,330	NA	0,330	0,110	Present	0,170	0,130	0,150	0,424	0,110	0,260	1	0	0	1	1	0	0	0	0	0	1
Agelenidae	Eratigena	inermis	Eratigena inermis	urn:lsid:nmbe.ch:spidersp:021242	Simon	1870	1	Portugal, Spain, France	-	Bolzern et al (2013)	yes	Troglophile	Sheet	1	0	0	1	0	Wall	Fully	0	0	0	11,620	14,290	NA	NA	12,955	9,850	0,760	11,403	5,550	4,750	5,150	4,670	3,340	4,005	1,286	NA	NA	NA	NA	6,560	7,400	6,980	0,612	6,250	7,390	6,820	0,598	NA	NA	NA	0,600	NA	0,600	0,200	Present	0,250	0,240	0,250	0,392	0,100	0,240	1	0	0	1	1	0	0	0	0	0	0
Agelenidae	Hadites	tegenarioides	Hadites tegenarioides	urn:lsid:nmbe.ch:spidersp:020960	Keyserling	1862	0	Croatia	Croatian Biospeleological Society collection: measured samples CBSS AR971, 966, 4014 females	Kratochvíl (1938)	yes	Troglobiont	Ground	1	0	0	0	0	Soil + Wall	Depigmented	1	0	1	NA	7,972	NA	NA	4,000	NA	NA	4,000	3,400	NA	3,400	2,320	NA	2,320	1,466	1,3	NA	NA	NA	4,007	NA	4,007	1,002	4,075	NA	4,075	1,019	1,196	NA	NA	NA	NA	NA	0,000	Absent_Adaptation	0,000	0,000	0,000	0,000	0,000	0,000	1	0	0	1	1	0	0	0	0	0	0
Agelenidae	Histopona	bidens	Histopona bidens	urn:lsid:nmbe.ch:spidersp:020962	Absolon & Kratochvi­l	1933	1	Croatia	Croatian Biospeleological Society collection: record from North Macedonia is wrong; measured samples CBSS AR 3862 & 63 female & 140 & 67  male; sample 140 male is eyeless	Kratochvíl J (1938a) Étude sur les araignées cavernicoles du genre Hadites. Práce Moravské Přírodovědecké Společnosti 11(1): 1-28 	yes	Troglobiont	Sheet	1	0	0	0	0	Soil + Wall	Depigmented	0	1	0	7,024	7,404	8,193	8,361	NA	NA	NA	6,000	3,900	3,824	3,862	2,650	2,580	2,615	1,477	0,997	1,321	NA	NA	5,050	4,470	4,760	0,793	5,280	4,730	5,005	0,834	0,943	1,031	0,987	0,236	NA	0,236	0,056	Present	0,076	0,059	0,084	0,291	0,067	0,155	1	0	0	1	1	0	0	0	0	0	0
Agelenidae	Histopona	conveniens	Histopona conveniens	urn:lsid:nmbe.ch:spidersp:020963	Kulczynski	1914	1	Croatia, Bosnia and Herzegovina, Montenegro	Croatian Biospeleological Society collection: measured samples CBSS AR1433 & 1455 female & 1448, 1446 & 3772 male	Kulczyński W (1914) Aranearum species novae minusve cognitae, in montibus Kras dictis a Dre C. Absolon aliisque collectae. Bulletin International de l'Academie des Sciences de Cracovie 1914: 353-387; Deeleman-Reinhold C L (1983) The genus Histopona Thorell (Araneae, Agelenidae) with description of two new cave-dwelling species. Mémoires de Biospéologie 10: 325-337;	yes	Troglophile	Sheet	1	1	0	0	0	Soil + Wall	Partly	0	0	0	4,904	5,894	5,657	6,06	6,300	5,300	0,841	5,800	2,625	2,800	2,713	1,800	2,150	1,975	1,373	1,458	1,238	NA	NA	2,630	2,850	2,740	0,472	2,510	2,780	2,645	0,456	0,547	0,656	NA	0,145	0,221	0,183	0,079	Present	0,143	0,124	0,114	0,628	0,024	0,060	1	0	0	1	1	0	0	0	0	0	0
Agelenidae	Histopona	dubia	Histopona dubia	urn:lsid:nmbe.ch:spidersp:020964	Absolon & Kratochvi­l	1933	1	Croatia	all records except Croatia are wrong; Croatian Biospeleological Society collection: measured samples CBSS AR1543 female & 1556 male; some specimens are completely eyeless, like CBSS AR1543 female	Kratochvíl J (1938a) Étude sur les araignées cavernicoles du genre Hadites. Práce Moravské Přírodovědecké Společnosti 11(1): 1-28 	yes	Troglobiont	Sheet	1	0	0	0	0	Soil + Wall	Depigmented	0	1	0	6,362	9,13	6,325	6,801	NA	NA	NA	6,000	3,550	3,100	3,325	2,420	2,160	2,290	1,452	2,654	1,249	NA	NA	4,100	4,260	4,180	0,697	4,130	4,470	4,300	0,717	0,88	0,786	NA	0,294	0,233	0,267	0,069	Present	0,089	0,078	0,092	0,307	0,067	0,102	1	0	0	1	1	0	0	0	0	0	0
Agelenidae	Histopona	egonpretneri	Histopona egonpretneri	urn:lsid:nmbe.ch:spidersp:020965	Deeleman-Reinhold	1983	0	Croatia	Croatian Biospeleological Society collection: measured samples CBSS AR5898 & 366 female & 5881 2 males	Deeleman-Reinhold C L (1983) The genus Histopona Thorell (Araneae, Agelenidae) with description of two new cave-dwelling species. Mémoires de Biospéologie 10: 325-337;	no	Troglobiont	Sheet	1	1	0	0	0	Soil + Wall	Depigmented	0	1	0	6,92	6,96	6,575	6,795	7,760	7,750	0,999	7,755	3,100	3,400	3,250	2,120	2,440	2,280	1,426	1,308	2,047	NA	NA	3,410	3,840	3,625	0,467	3,460	3,840	3,650	0,471	0,753	0,923	NA	0,251	0,289	0,225	0,075	Present	0,118	0,098	0,114	0,449	0,013	0,099	1	0	0	1	1	0	0	0	0	0	0
Agelenidae	Histopona	hauseri	Histopona hauseri	urn:lsid:nmbe.ch:spidersp:020966	Brignoli	1972	1	Greece, North Macedonia	-	Brignoli (1972); Gasparo (2005)	no	Troglophile	Sheet	1	0	0	1	0	Soil	Fully	0	0	0	7,000	9,050	5,650	7,050	8,025	6,350	0,791	7,188	3,350	3,320	3,335	2,330	2,370	2,350	1,419	NA	NA	NA	NA	3,110	3,190	3,150	0,438	2,960	3,320	3,140	0,437	1,610	1,490	1,550	0,190	0,170	0,180	0,100	Present	0,150	0,130	0,120	0,694	NA	NA	1	0	0	1	1	0	0	0	0	0	0
