"Family" "Genus" "species" "Genus_species" "species_lsid" "author" "year" "parentheses" "distribution_WSC" "Notes" "Citation_WSC" "Measured" "Ecological_classification" "Guild" "Cave_deep" "Cave_entr" "SSH" "External" "Alien" "Verticality" "Pigment" "Eyeless" "Eyes_regression" "Leg_elongation" "Body_length_min_f" "Body_length_max_f" "Body_length_min_m" "Body_length_max_m" "Body_length_avg_f" "Body_length_avg_m" "Sexual_Size_Dimorphism" "Body_length_avg" "Prosoma_length_f" "Prosoma_length_m" "Prosoma_length_avg" "Prosoma_width_f" "Prosoma_width_m" "Prosoma_width_avg" "Prosoma_shape" "Prosoma_height_f" "Prosoma_height_m" "Prosoma_height_avg" "Profile_flattening" "Femur_I_length_f" "Femur_I_length_m" "Femur_I_length_avg" "Femur_elongation" "Tibia_I_length_f" "Tibia_I_length_m" "Tibia_I_length_avg" "Tibia_elongation" "Fang_length_f" "Fang_length_m" "Fang_length_avg" "Clypeus_height_f" "Clypeus_height_m" "Clypeus_height_avg" "AME" "AME_type" "ALE" "PME" "PLE" "Eye_reduction_ratio" "AME.ALE" "PME.PLE" "Capture_web" "Sensing_web" "No_web" "Tube_web" "Sheet_web" "Space_web" "Orb_web" "Ambush_hunter" "Active_hunter" "Food_specialist" "Dispersal"
"Agraecina cristiani" "Liocranidae" "Agraecina" "cristiani" "Agraecina cristiani" "urn:lsid:nmbe.ch:spidersp:024141" "Georgescu" 1989 1 "Romania" "Only male were measured" "Platnick & Di Franco_1992/inediti" "no" "Troglophile" "Ground" 0 0 1 1 0 "Soil" "Partly" 0 0 1 NA 4.07 NA 4.44 4.07 4.44 1.091 4.255 1.85 1.92 1.885 1.44 1.51 1.475 1.278 NA 0.445 NA NA NA 1.45 NA NA NA 1.37 NA NA NA 0.265 NA NA 0.084 0.084 0.05 "Present" 0.05 0.07 0.06 0.685 0.02 0.07 0 0 1 0 0 0 0 0 1 0 0
"Amaurobius cerberus" "Amaurobiidae" "Amaurobius" "cerberus" "Amaurobius cerberus" "urn:lsid:nmbe.ch:spidersp:022594" "Fage" 1931 0 "Spain" "-" "Fage (1931)" "no" "Troglophile" "Sheet" 0 1 0 1 0 "Wall" "Fully" 0 0 1 NA NA NA NA NA 11 NA 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 1 1 0 0 0 0 0 1
"Amaurobius ferox" "Amaurobiidae" "Amaurobius" "ferox" "Amaurobius ferox" "urn:lsid:nmbe.ch:spidersp:022605" "Walckenaer" 1830 1 "Europe, Turkey. Introduced to Canada, USA, Mexico" "-" "Leech (1972); Blackwell (1859)" "no" "Troglophile" "Sheet" 0 1 1 1 0 "Wall" "Fully" 0 0 1 8.5 14.5 8 12.5 11.5 10.25 0.891 10.875 6.4 NA 6.4 4.3 NA 4.3 1.488 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 1 1 0 0 0 0 0 1
"Anapistula ataecina" "Symphytognathidae" "Anapistula" "ataecina" "Anapistula ataecina" "urn:lsid:nmbe.ch:spidersp:042724" "Cardoso & Scharff" 2009 0 "Portugal" "-" "Cardoso & Scharff (2009)" "yes" "Troglobiont" "Sheet" 1 0 0 0 0 "Soil" "Depigmented" 1 0 0 0.43 0.57 NA NA 0.52 NA NA 0.52 0.23 NA NA 0.19 NA 0.19 NA 0.21 NA 0.21 NA 0.19 NA 0.19 0.365 0.14 NA 0.14 0.269 NA NA NA NA NA NA 0 "Absent_Ontology" 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0
"Antrohyphantes balcanicus" "Linyphiidae" "Antrohyphantes" "balcanicus" "Antrohyphantes balcanicus" "urn:lsid:nmbe.ch:spidersp:009405" "Drensky" 1931 1 "Bulgaria" "-" "Deltshev, C. (1972b). A contribution to the study of spiders (Araneae) from the caves in Bulgaria II. Genus Lepthyphantes in Bulgarian caves. Izvestija - Zoologiceskija Institut Sofija 36: 137-147." "no" "Troglophile" "Sheet" 1 1 0 1 0 "Soil" "Partly" 0 0 1 3.11 3.11 2.74 2.74 3.11 2.74 0.881 2.925 0.75 0.8 0.775 1.22 1.43 1.325 0.585 NA NA NA NA 3.03 3 3.015 1.031 3.32 3.17 3.245 1.109 NA NA NA 0.2 0.25 0.225 NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Antrohyphantes rhodopensis" "Linyphiidae" "Antrohyphantes" "rhodopensis" "Antrohyphantes rhodopensis" "urn:lsid:nmbe.ch:spidersp:009406" "Drensky" 1931 1 "Eastern Europe" "-" "Dumitrescu, M. (1971). Une araignée nouvelle des grottes de Bulgarie, Antrohyphantes rodopicus n.g., n.sp (fam. Linyphiidae, sous-fam. Linyphiinae, série de genres Leptyphanteae). Travaux de l’Institut de Spéologie “Émile Racovitza” 10: 167-174" "no" "Troglophile" "Sheet" 1 1 0 0 0 "Soil" "Partly" 0 0 0 3.13 3.125 2.6 2.6 3.128 2.6 0.831 2.864 NA NA NA 1.125 1.125 1.125 NA 0.225 0.225 0.225 NA 2.3 2.25 2.275 0.794 2.5 2.375 2.438 0.851 NA NA NA NA NA NA 0.075 "Present" 0.075 0.075 0.075 NA 0.075 NA 1 0 0 0 1 1 0 0 0 0 0
"Antrohyphantes sophianus" "Linyphiidae" "Antrohyphantes" "sophianus" "Antrohyphantes sophianus" "urn:lsid:nmbe.ch:spidersp:009407" "Drensky" 1931 1 "Bulgaria" "-" "Miller, F. (1958a). Eine neue Lepthyphantes (L. tranteevi sp. n.) aus den bulgarischen Höhlen. Práce Brněnské Základny Československé Akademie Věd 30: 577-583." "yes" "Troglophile" "Sheet" 1 1 0 1 0 "Soil" "Depigmented" 0 1 0 NA NA NA NA NA NA NA 4 0.67 0.55 0.61 1.15 1.07 1.11 0.55 NA NA NA NA 3.15 3 3.075 0.769 3.4 3.4 3.4 0.85 NA NA NA 0.21 0.23 0.22 0.09 "Present" 0.069 0.063 0.18 0.457 0.138 NA 1 0 0 0 1 1 0 0 0 0 0
"Artema atlanta" "Pholcidae" "Artema" "atlanta" "Artema atlanta" "urn:lsid:nmbe.ch:spidersp:003327" "Walckenaer" 1837 0 "Pantropical" "Bernhard Huber collection" "Aharon et al, 2017, new" "yes" "Troglophile" "Sheet" 0 1 NA 1 0 "Wall" "Fully" 0 0 1 7.5 10.5 7 10.5 9 8.75 0.972 8.875 2.5 2.6 2.55 2.9 3.1 3 0.85 1.8 1.9 1.85 0.725 12.5 13.5 13 1.465 13.2 15.4 14.3 1.611 0.26 0.26 0.26 1.1 1.1 1.1 0.165 "Present" 0.2 0.175 0.2 0.168 0.45 0.09 1 0 0 0 1 1 0 0 0 0 1
"Asthenargus bracianus" "Linyphiidae" "Asthenargus" "bracianus" "Asthenargus bracianus" "urn:lsid:nmbe.ch:spidersp:009509" "Miller" 1938 0 "Central, Eastern Europe" "Measured samples CBSS AR547 male & 6795 female" "Miller, F. (1938b). Zwei neue Höhlenspinnen aus den Grotten Jugoslaviens. Festschrift Embrik Strand 4: 629-633. ; Thaler, K. (1976a). Über wenig bekannte Zwergspinnen aus den Alpen, IV (Arachnida, Aranei, Erigonidae). Archives des Sciences, Genève 29: 227-246. ; Thaler, K. (1991a). Über wenig bekannte Zwergspinnen aus den Alpen-VIII (Arachnida: Aranei, Linyphiidae: Erigoninae). Revue Suisse de Zoologie 98: 165-184. ; Wunderlich, J. (1969). Zur Spinnenfau- Deutschlands, IX. Beschreibung seltener oder bisher unbekannter Arten (Arachnida: Araneae). Senckenbergia- Biologica 50: 381-393." "no" "Troglophile" "Other" 1 1 1 1 0 "Soil + Wall" "Depigmented" 0 1 0 1.6 1.8 1.6 1.8 1.7 1.7 1 1.7 0.7 0.6 0.65 0.653 0.67 0.662 0.983 0.476 0.378 NA NA 0.67 0.72 0.695 0.409 0.52 0.6 0.56 0.329 0.239 0.218 NA 0.14 0.141 0.141 0.022 "Present" 0.042 0.042 0.042 0.263 0.042 NA 0 0 1 0 0 0 0 0 1 0 0
"Barusia insulana" "Leptonetidae" "Barusia" "insulana" "Barusia insulana" "urn:lsid:nmbe.ch:spidersp:002939" "Kratochvi­l & Miller" 1939 1 "Croatia" "Croatian Biospeleological Society collection: mesured samples CBSSAR 2500 & 2390 females & 4017 male; ALE-PME distance 0.028-0.041" "Kratochvíl, J, & Miller, F, (1939), Espèces nouvelles cavernicoles du genre Paraleptoneta (aranéides) découvertes en Yougoslavie, Archives de Zoologie Expérimentale et Générale 80(N, & Rev,): 96-115; Le Peru, B, (2011), The spiders of Europe, a synthesis of data: Volume 1 Atypidae to Theridiidae, Mémoires de la Société Linnéenne de Lyon 2: 1-522" "yes" "Troglobiont" "Space" 1 1 0 0 0 "Soil + Wall" "Depigmented" 0 0 1 NA 1.46 NA 1.54 1.46 1.54 1.055 1.5 0.67 0.622 NA 0.56 0.511 NA NA 0.161 0.121 NA NA 1.84 1.91 1.875 1.25 2.12 2.19 2.155 1.437 0.192 0.2 NA 0.105 0.099 0.102 0 "Absent_Ontology" 0.058 0.049 0.048 0.503 NA NA 1 0 0 0 0 1 0 0 0 0 0
"Barusia korculana" "Leptonetidae" "Barusia" "korculana" "Barusia korculana" "urn:lsid:nmbe.ch:spidersp:002940" "Kratochvi­l & Miller" 1939 1 "Croatia" "Croatian Biospeleological Society collection: mesured samples CBSSAR 5852 male and female; ALE-PME distance 0.029-0.032" "Kratochvíl, J, & Miller, F, (1939), Espèces nouvelles cavernicoles du genre Paraleptoneta (aranéides) découvertes en Yougoslavie, Archives de Zoologie Expérimentale et Générale 80(N, & Rev,): 96-115; Le Peru, B, (2011), The spiders of Europe, a synthesis of data: Volume 1 Atypidae to Theridiidae, Mémoires de la Société Linnéenne de Lyon 2: 1-522" "no" "Troglobiont" "Space" 1 1 0 0 0 "Soil + Wall" "Depigmented" 0 0 1 1.374 1.59 NA 1.78 1.482 1.78 1.201 1.7 0.539 0.611 NA 0.151 0.504 NA NA 0.131 0.081 NA NA 1.8 2.05 1.925 1.132 2.08 2.4 2.24 1.318 0.153 0.188 NA 0.096 0.141 0.119 0 "Absent_Ontology" 0.047 0.047 0.048 0.397 NA NA 1 0 0 0 0 1 0 0 0 0 0
"Barusia maheni" "Leptonetidae" "Barusia" "maheni" "Barusia maheni" "urn:lsid:nmbe.ch:spidersp:002942" "Kratochvi­l & Miller" 1939 1 "Croatia" "Croatian Biospeleological Society collection: measured samples CBSS AR4804 & 4767 females, & 4767, 3531 & 2766 males; ALE-PME distance 0.037-0.04" "Le Peru, B, (2011), The spiders of Europe, a synthesis of data: Volume 1 Atypidae to Theridiidae, Mémoires de la Société Linnéenne de Lyon 2: 1-522; Kratochvíl, J, & Miller, F, (1939), Espèces nouvelles cavernicoles du genre Paraleptoneta (aranéides) découvertes en Yougoslavie, Archives de Zoologie Expérimentale et Générale 80(N, & Rev,): 96-115" "no" "Troglophile" "Space" 1 1 1 1 0 "Soil + Wall" "Variable" 0 0 0 1.399 1.511 1.31 1.8 1.455 1.555 1.069 1.6 0.617 0.608 NA 0.564 0.496 NA NA 0.186 0.165 NA NA 1.41 1.58 1.495 0.934 1.66 1.84 1.75 1.094 0.163 0.21 NA 0.076 0.121 0.098 0 "Absent_Ontology" 0.05 0.049 0.046 0.49 NA NA 1 0 0 0 0 1 0 0 0 0 0
